2026;23;Csütörtök;2026.06.04.;0;0 Ft;0;0;20;359 455 Ft;858;8 380 Ft;13922;3 140 Ft;2;9;15;21;28;35
2026;22;Vasárnap;2026.05.31.;0;0 Ft;0;0;19;488 455 Ft;961;9 655 Ft;18070;3 125 Ft;7;19;20;41;42;43
2026;22;Csütörtök;2026.05.28.;0;0 Ft;0;0;18;355 200 Ft;996;6 420 Ft;14769;2 635 Ft;2;6;8;11;20;37
2026;21;Vasárnap;2026.05.24.;0;0 Ft;0;0;29;310 905 Ft;858;10 510 Ft;16202;3 385 Ft;4;22;24;34;35;39
2026;21;Csütörtök;2026.05.21.;0;0 Ft;0;0;9;729 695 Ft;679;9 670 Ft;12102;3 300 Ft;13;21;22;34;36;39
2026;20;Vasárnap;2026.05.17.;1;433 950 855 Ft;0;0;44;232 570 Ft;1933;5 295 Ft;27449;2 270 Ft;3;11;12;21;27;41
2026;20;Csütörtök;2026.05.14.;0;0 Ft;0;0;30;264 960 Ft;1246;6 380 Ft;18988;2 545 Ft;6;11;23;27;28;45
2026;19;Vasárnap;2026.05.10.;0;0 Ft;0;0;25;385 265 Ft;998;9 650 Ft;18221;3 215 Ft;3;14;27;28;36;39
2026;19;Csütörtök;2026.05.07.;0;0 Ft;0;0;18;369 950 Ft;928;7 175 Ft;15807;2 565 Ft;4;9;11;12;31;35
2026;18;Vasárnap;2026.05.03.;0;0 Ft;0;0;14;604 940 Ft;766;11 055 Ft;14587;3 530 Ft;21;23;24;27;30;35
2026;18;Csütörtök;2026.04.30.;0;0 Ft;0;0;9;846 195 Ft;602;12 650 Ft;12335;3 755 Ft;10;27;28;32;34;35
2026;17;Vasárnap;2026.04.26.;2;118 646 220 Ft;0;0;33;304 150 Ft;1485;6 760 Ft;24950;2 445 Ft;11;17;19;26;27;30
2026;17;Csütörtök;2026.04.23.;0;0 Ft;0;0;12;598 010 Ft;768;9 345 Ft;13434;3 250 Ft;9;14;19;20;36;40
2026;16;Vasárnap;2026.04.19.;0;0 Ft;0;0;15;695 505 Ft;1084;9 625 Ft;19455;3 260 Ft;16;22;27;30;31;45
2026;16;Csütörtök;2026.04.16.;1;721 830 890 Ft;0;0;8;1 025 570 Ft;733;11 195 Ft;13781;3 620 Ft;1;16;18;24;36;44
2026;15;Vasárnap;2026.04.12.;0;0 Ft;0;0;20;599 795 Ft;1108;10 825 Ft;20424;3 575 Ft;8;14;15;19;34;36
2026;15;Csütörtök;2026.04.09.;0;0 Ft;0;0;22;344 390 Ft;918;8 255 Ft;14909;3 090 Ft;7;25;30;38;40;42
2026;14;Vasárnap;2026.04.05.;0;0 Ft;0;0;18;547 935 Ft;1036;9 520 Ft;19106;3 140 Ft;14;16;23;37;39;42
2026;14;Csütörtök;2026.04.02.;0;0 Ft;0;0;29;322 760 Ft;1667;5 615 Ft;23453;2 430 Ft;13;18;21;25;37;42
2026;13;Vasárnap;2026.03.29.;0;0 Ft;0;0;33;334 255 Ft;1317;8 375 Ft;21373;3 140 Ft;7;14;15;20;30;40
2026;13;Csütörtök;2026.03.26.;0;0 Ft;0;0;16;477 685 Ft;1029;7 430 Ft;16261;2 860 Ft;8;10;11;17;28;30
2026;12;Vasárnap;2026.03.22.;0;0 Ft;0;0;42;261 040 Ft;1745;6 285 Ft;27177;2 455 Ft;4;12;17;18;27;29
2026;12;Csütörtök;2026.03.19.;0;0 Ft;0;0;23;324 330 Ft;993;7 510 Ft;16224;2 795 Ft;10;20;25;26;31;33
2026;11;Vasárnap;2026.03.15.;1;263 752 635 Ft;0;0;47;253 590 Ft;1779;6 700 Ft;27126;2 675 Ft;1;6;8;19;27;31
2026;11;Csütörtök;2026.03.12.;0;0 Ft;0;0;17;466 200 Ft;828;9 570 Ft;16918;2 850 Ft;11;24;25;31;33;34
2026;10;Vasárnap;2026.03.08.;0;0 Ft;0;0;29;375 325 Ft;1345;8 090 Ft;23397;2 830 Ft;6;9;11;30;34;35
2026;10;Csütörtök;2026.03.05.;1;404 132 140 Ft;0;0;15;542 870 Ft;735;11 080 Ft;13888;3 565 Ft;2;5;20;26;36;43
2026;9;Vasárnap;2026.03.01.;0;0 Ft;0;0;37;313 050 Ft;1322;8 760 Ft;21920;3 215 Ft;2;15;23;34;37;44
2026;9;Csütörtök;2026.02.26.;0;0 Ft;0;0;12;670 330 Ft;839;9 590 Ft;15389;3 180 Ft;8;9;14;16;34;44
2026;8;Vasárnap;2026.02.22.;0;0 Ft;0;0;33;345 795 Ft;1357;8 410 Ft;20299;3 420 Ft;4;5;15;25;35;43
2026;8;Csütörtök;2026.02.19.;0;0 Ft;0;0;27;292 680 Ft;1136;6 955 Ft;19086;2 520 Ft;4;7;16;17;24;29
2026;7;Vasárnap;2026.02.15.;1;2 492 130 995 Ft;0;0;42;395 265 Ft;2309;7 190 Ft;34806;2 935 Ft;4;10;22;26;27;38
2026;7;Csütörtök;2026.02.12.;0;0 Ft;0;0;16;648 685 Ft;933;11 125 Ft;17081;3 740 Ft;20;22;36;38;41;44
2026;6;Vasárnap;2026.02.08.;0;0 Ft;0;0;29;469 970 Ft;1889;7 215 Ft;31930;2 625 Ft;11;13;21;22;23;26
2026;6;Csütörtök;2026.02.05.;0;0 Ft;0;0;38;247 575 Ft;1371;6 860 Ft;21180;2 735 Ft;2;4;6;10;23;35
2026;5;Vasárnap;2026.02.01.;0;0 Ft;0;0;43;323 895 Ft;1739;8 010 Ft;28253;2 880 Ft;5;10;19;32;41;42
2026;5;Csütörtök;2026.01.29.;0;0 Ft;0;0;24;402 695 Ft;1054;9 170 Ft;18810;3 005 Ft;4;5;10;34;44;45
2026;4;Vasárnap;2026.01.25.;0;0 Ft;0;0;56;224 830 Ft;2483;5 070 Ft;34334;2 290 Ft;3;7;13;22;41;43
2026;4;Csütörtök;2026.01.22.;0;0 Ft;0;0;25;358 485 Ft;1238;7 240 Ft;20305;2 760 Ft;7;12;19;26;35;42
2026;3;Vasárnap;2026.01.18.;0;0 Ft;0;0;24;522 760 Ft;1321;9 500 Ft;24603;3 100 Ft;1;6;7;14;29;32
2026;3;Csütörtök;2026.01.15.;0;0 Ft;0;0;22;404 400 Ft;1194;7 450 Ft;20071;2 695 Ft;9;20;21;24;27;30
2026;2;Vasárnap;2026.01.11.;0;0 Ft;0;0;13;901 605 Ft;1008;11 630 Ft;19390;3 675 Ft;14;24;34;35;42;43
2026;2;Csütörtök;2026.01.08.;0;0 Ft;0;0;11;750 500 Ft;722;11 435 Ft;13143;3 820 Ft;2;15;35;38;40;42
2026;1;Vasárnap;2026.01.04.;0;0 Ft;0;0;48;246 350 Ft;1822;6 490 Ft;25441;2 825 Ft;1;4;13;16;26;39
2026;1;Csütörtök;2026.01.01.;0;0 Ft;0;0;34;299 210 Ft;1444;7 045 Ft;21837;2 835 Ft;10;13;25;30;31;35
2025;52;Vasárnap;2025.12.28.;0;0 Ft;0;0;14;803 025 Ft;1303;8 630 Ft;23815;2 870 Ft;6;8;17;18;19;43
2025;52;Csütörtök;2025.12.25.;0;0 Ft;0;0;44;213 075 Ft;1519;6 170 Ft;23061;2 475 Ft;9;13;26;32;34;44
2025;51;Vasárnap;2025.12.21.;0;0 Ft;0;0;28;419 630 Ft;1294;9 080 Ft;24081;2 970 Ft;10;11;12;17;27;36
2025;51;Csütörtök;2025.12.18.;0;0 Ft;0;0;17;498 460 Ft;819;10 345 Ft;14478;3 560 Ft;8;16;24;31;35;36
